,term1,term2,relation
0,animais,animal,FormOf
0,animais,animal,RelatedTo
0,bezerra,bezerro,RelatedTo
0,minerais,mineral,Synonym
0,espécies,espécie,FormOf
0,bovina,bovino,FormOf
0,concentrado,concentrar,FormOf
0,alta,alto,FormOf
0,sementes,semente,FormOf
0,fatores,fator,FormOf
0,instalações,instalação,FormOf
0,nutrientes,nutriente,FormOf
0,leguminosa,leguminoso,FormOf
0,pelagem,pelar,RelatedTo
0,bezerro,vaca,AtLocation
0,líquida,líquido,FormOf
0,térmica,térmico,FormOf
0,perda,perder,RelatedTo
0,tomada,tomar,DerivedFrom
0,grande,pequeno,Antonym
0,pequeno,grande,Antonym
0,entrada,entrar,UsedFor
0,cortado,cortar,EtymologicallyRelatedTo
0,mamadeira,mamar,UsedFor
0,verão,ver,EtymologicallyDerivedFrom
0,via,ver,FormOf
0,pico,picar,FormOf
0,picada,picar,DerivedFrom
0,secador,secar,RelatedTo
0,secador,secar,UsedFor
0,vaca,pastagem,AtLocation
0,seca,secar,FormOf
0,seco,secar,RelatedTo
0,demora,demorar,FormOf
0,pasto,pastagem,AtLocation
0,pastagem,pasto,RelatedTo
0,fêmea,macho,Antonym
0,estimulante,estimular,RelatedTo
0,colhedeira,colher,DerivedFrom
0,capim,pastagem,AtLocation
0,colheita,colher,DerivedFrom
0,colheita,colher,RelatedTo
0,praga,doença,IsA
0,cruza,cruzar,FormOf
0,cruza,cruzar,RelatedTo
0,componentes,componente,FormOf
0,vaca,pasto,AtLocation
0,macho,fêmea,Antonym
0,bezerro,animal,IsA
0,novilho,bezerro,Synonym
0,tanques,tanque,FormOf
0,fósforo,fosfato,RelatedTo
0,estresse,estressar,RelatedTo
0,geada,gear,FormOf
0,geada,gear,RelatedTo
0,monta,montar,FormOf
0,semeadura,semear,DerivedFrom
0,desinfetantes,desinfetante,FormOf
0,ácidos,ácido,FormOf
0,verão,inverno,DistinctFrom
0,doença,doente,AtLocation
0,ventilação,ventilar,RelatedTo
0,fresca,fresco,FormOf
0,enxofre,fósforo,SimilarTo
0,tecidos,tecer,FormOf
0,tecido,tecer,DerivedFrom
0,tecido,tecer,FormOf
0,rasteira,rasteiro,DerivedFrom
0,rasteira,rasteiro,FormOf
0,rasteira,rasteiro,EtymologicallyRelatedTo
0,esterco,adubo,IsA
0,parteiro,parto,RelatedTo
0,demanda,demandar,FormOf
0,demanda,demandar,RelatedTo
0,baixo,alto,Antonym
0,vacina,vacinar,UsedFor
0,enxofre,enxofrar,RelatedTo
0,bezerro,pasto,AtLocation
0,junta,junto,FormOf
0,fermentação,fermentar,RelatedTo
0,doença,intestino,AtLocation
0,congelador,congelar,RelatedTo
0,gestante,gestação,RelatedTo
0,dor,sintoma,IsA
0,capim,pasto,AtLocation
0,caule,planta,AtLocation
0,temperatura,vento,AtLocation
0,congelado,congelar,FormOf
0,chifre,vaca,AtLocation
0,infecção,febre,Causes
0,infecção,infectar,RelatedTo
0,emagreceu,emagrecer,FormOf
0,queijo,alimento,IsA
0,desinfecção,infecção,DerivedFrom
0,samambaia,planta,IsA
0,macho,fêmeo,Antonym
0,emagrece,emagrecer,FormOf
0,diferem,diferir,FormOf
0,cerca,pastagem,AtLocation
0,subclínico,clínico,DerivedFrom
0,bezerra,novilha,Synonym
0,mineralizado,mineralizar,FormOf
0,biberão,mamadeira,Synonym
0,carreta,carroça,Synonym
0,endereço,endereçar,FormOf
0,endereço,endereçar,RelatedTo
0,febre,doente,AtLocation
0,pele,corpo,AtLocation
0,tijolo,comer,NotUsedFor
0,fetal,feto,RelatedTo
0,digestão,digerir,RelatedTo
0,membro,corpo,AtLocation
0,pata,vaca,AtLocation
0,teto,cobrir,UsedFor
0,cavalo,pasto,AtLocation
0,solo,sol,RelatedTo
0,material,lixo,AtLocation
0,dosagem,dose,Synonym
0,mau,bom,Antonym
0,manga,camisa,AtLocation
0,manga,roupa,AtLocation
0,adiposo,tecido,IsA
0,desinfetar,limpar,DefinedAs
0,aniônica,aniônico,FormOf
0,rótulo,embalagem,AtLocation
0,quaternária,quaternário,FormOf
0,médio,meio,RelatedTo
0,berne,animal,AtLocation
0,feto,fetal,RelatedTo
0,entrada,casa,AtLocation
0,entrada,tanque,AtLocation
0,calor,frio,Antonym
0,regra,regrar,DerivedFrom
0,ração,comer,NotUsedFor
0,unha,dedo,AtLocation
0,evaporação,vapor,Synonym
0,coqueiro,árvore,IsA
0,cama,casa,AtLocation
0,plantio,plantar,UsedFor
0,papeira,bócio,Synonym
0,novilha,bezerra,Synonym
0,avó,mãe,IsA
0,rebanho,pasto,AtLocation
0,técnico,profissional,IsA
0,camisa,roupa,IsA
0,ovariana,ovariano,FormOf
0,mamadeira,biberão,Synonym
0,inflamação,febre,Causes
0,órgão,animal,AtLocation
0,bom,mau,Antonym
0,estrôncio,metal,IsA
0,sadio,bom,Synonym
0,seco,úmido,Antonym
0,manganês,metal,IsA
0,anticorpo,imunoglobulina,Synonym
0,colher,sopa,AtLocation
0,natural,naturalizar,RelatedTo
0,serragem,serrar,RelatedTo
