,term
0,sapé
1,plantar
2,fim
3,cedo
4,limpo
5,osso
6,realizar
7,sexado
8,colônia
9,úmido
10,controlar
11,calcular
12,geada
13,item
14,telha
15,direto
16,mudança
17,recomendar
18,silagem
19,trocável
20,reposição
21,provocado
22,casinha
23,gaiola
24,saúde
25,mudar
26,proceder
27,formador
28,Cana-de-açúcar
29,pioneiro
30,independentemente
31,receptor
32,formar
33,ciliar
34,tolerante
35,tratar
36,capaz
37,grande
38,formulação
39,sentir
40,café
41,feno
42,palha
43,usar
44,avaliação
45,comer
46,deficiência
47,cultivado
48,dimensionar
49,certo
50,associar
51,adaptar
52,capim-colonião
53,estar
54,interferir
55,adicionar
56,mosca-do-chifre
57,califórnia
58,exercer
59,atrasar
60,individual
61,agrossilvipastoril
62,combinado
63,fraco
64,barriga
65,diminuição
66,cenchrus
67,baixo
68,preocupação
69,prejudicar
70,descartar
71,silencioso
72,numeroso
73,partir
74,independente
75,eletroejaculação
76,possível
77,misto
78,ebv
79,pré-parto
80,pobre
81,razão
82,usado
83,vez
84,calagem
85,todo
86,possível
87,nativo
88,prepúcio
89,caroço
90,misto
91,aberto
92,meio
93,correto
94,araxá
95,expulsa
96,indicado
97,camada
98,obtido
99,brucelose
100,consorciação
101,faltando
102,forragem
103,preciso
104,critério
105,produzido
106,poder
107,unidade
108,completado
109,maculosa
110,recuperar
111,prejudicar
112,terra
113,prevenir
114,afirmação
115,fechado
116,procedimento
117,tpi
118,diário
119,transmitido
120,vizinho
121,localização
122,gerenciar
123,suplementação
124,provocado
125,repetibilidade
126,específico
127,sempre
128,sanitário
129,colocar
130,conter
131,tobiatã
132,permanecer
133,circunstância
134,tratado
135,capim-elefante
136,empregar
137,mineralizar
138,Cigarrinha-da-pastagem
139,algodão
140,substância
141,ingrediente
142,campo
143,centro-oeste
144,salobra
145,soja
146,grão
147,ficha
148,conveniente
149,boi
150,desgaste
151,metrite
152,aleitado
153,eficaz
154,recebendo
155,sucessivo
156,situação
157,alcançar
158,diverso
159,separação
160,fecundada
161,idêntico
162,pronto
163,aumentar
164,colocar
165,marca
166,básico
167,puro
168,constatar
169,utilizar
170,semissólido
171,parir
172,nascer
173,aveia-preta
174,difícil
175,reforma
176,leite/dia
177,feto
178,material
179,arroz
180,apartado
181,adotado
182,salmonelose
183,fazer
184,manter
185,cobrando
186,procurar
187,estabilização
188,iniciar
189,sadio
190,orientar
191,diluir
192,ensilado
193,soja
194,farinha
195,setária
196,desejável
197,ocasionar
198,ectoparasita
199,obeso
200,gerenciamento
201,junto
202,introduzir
203,congelamento
204,inverso
205,morfológica
206,intestinal
207,estrutura
208,tóxico
209,começar
210,explicar
211,prevenir
212,recomendável
213,função
214,mineralizado
215,ruziziensis
216,obriga­tório
217,experimentar
218,longo
219,prolongado
220,preparar
221,pós-parto
222,sólido
223,prejuízo
224,incluir
225,ensilar
226,papeira
227,enchimento
228,produtor
229,espermática
230,vedar
231,tonelada
232,regulamentado
233,função
234,escolha
235,fracassar
236,cisticercose
237,ficar
238,país
239,intramamário
240,influenciar
241,acometido
242,holandês
243,meno
244,uterino
245,fácil
246,climático
247,orgânico
248,pai
249,gastar
250,adaptar
251,suscetível
252,palatabilidade
253,capim-braquiária
254,calcular
255,berne
256,bezerro
257,pessoa
258,complexo
259,divisão
260,sulfato
261,saber
262,teteira
263,colibacilose
264,observado
265,comer
266,interferir
267,arborizar
268,cameroon
269,atrasar
270,pequeno
271,desde
272,influência
273,dever
274,queimar
275,pesado
276,dentro
277,micro
278,espaçamento
279,apartar
280,definir
281,tratar
282,cara
283,tampão
284,rural
285,capimelefante
286,desaparecendo
287,primeiro
288,sudeste
289,passar
290,começar
291,preferência
292,trabalho
293,cobrição
294,magnesiano
295,eliminar
296,bem-estar
297,atender
298,escolher
299,silvipastoril
300,separado
301,enxofre
302,cortado
303,grão
304,misturado
305,rabo-de-burro
306,leguminosa
307,estragar
308,fator
309,consumidor
310,dar
311,nova
312,servir
313,causar
314,diferente
315,cobrição
316,criação
317,cana-de-açúcar
318,ensilar
319,adquirir
320,relação
321,valor
322,cama
323,falta
324,causador
325,serragem
326,tomar
327,situação
328,proliferação
329,casinha
330,nível
331,irrigar
332,passar
333,máximo
334,conservação
335,solução
336,medida
337,herbácea
338,ajuda
339,pega
340,suprimento
341,plantado
342,reconhecer
343,dimensionar
344,positivo
345,gerar
346,enxertar
347,distócico
348,centenário
349,alvenaria
350,extraído
351,excremento
352,suplementar
353,Tanner-grass
354,vários
355,germinação
356,administrado
357,alterar
358,ter
359,acidentalmente
360,testículo
361,parasita
362,perder
363,apropriado
364,urinar
365,formado
366,morro
367,fogo
368,momento
369,ponto
370,cinco
371,ataque
372,máximo
373,pouco
374,chorume
375,rocha
376,ficar
377,número
378,acontecendo
379,variedade
380,manqueira
381,transgênico
382,cisto
383,existente
384,desprender
385,risco
386,maior
387,suscetível
388,local
389,tuberculose
390,preparar
391,raiva
392,manejar
393,exato
394,novamente
395,tijolo
396,dia
397,meloso
398,bainha
399,enxerto
400,substituto
401,adubar
402,problemático
403,reproduzir
404,prenhe
405,verde
406,sujo
407,arraçoamento
408,inconveniente
409,coccidiose
410,vitamínico
411,receita
412,tostar
413,opção
414,buffer
415,dar
416,efeito
417,tempo
418,microelemento
419,quatro
420,sobreviver
421,minimizar
422,macronutriente
423,genômica
424,mês
425,natureza
426,recém-nascido
427,Cana-de-açúcar
428,encharcado
429,operação
430,embrião
431,percentagem
432,econômico-financeiro
433,queima
434,entrar
435,tamponante
436,custo/benefício
437,avaliar
438,receber
439,econômico
440,parente
441,macroelemento
442,verdade
443,reduz
444,registro
445,milagroso
446,litro
447,fornecer
448,medir
449,oral
450,depois
451,devolver
452,conseguir
453,feijão-guandu
454,prejudicar
455,contaminar
456,eliminado
457,chuva
458,determinar
459,engorda
460,amônia
461,cevada
462,sobre
463,rufião
464,praga
465,clima
466,sobrando
467,recomendação
468,descartada
469,rápido
470,descornar
471,prova
472,precisar
473,alongado
474,arbóreo
475,exclusivo
476,acostumar
477,relacionado
478,acasalar
479,entrada
480,técnico
481,rapa
482,aproveitar
483,aconselhável
484,determinar
485,tomado
486,convir
487,dolomítico
488,fisiológico
489,poder
490,vermifugar
491,utilizar
492,ssp
493,deficiente
494,voltar
495,bom
496,determinado
497,resultado
498,iatf
499,vantajoso
500,jersey
501,exigência
502,emagrecimento
503,adoecer
504,prejudicar
505,frio
506,dividir
507,real
508,pneumoenterite
509,ação
510,europeu-zebu
511,entender
512,mucuna-preta
513,estabelecer
514,mostrar
515,regime
516,bicálcico
517,ano
518,repetir
519,combater
520,sexagem
521,aplicabilidade
522,implantar
523,n-p-k
524,verão
525,comprar
526,cupim
527,moderado
528,adubado
529,prático
530,capim-angola
531,influenciar
532,estéril
533,ordenhar
534,hectare
535,receber
536,cérvix
537,capim-gordura
538,subcutâneo
539,especial
540,pronto
541,correto
542,replantio
543,positivo
544,acontecer
545,inferior
546,servir
547,homem
548,variável
549,novo
550,origem
551,casca
552,dosagem
553,determinar
554,produzir
555,capim-buffel
556,acurácia
557,cuidado
558,manejado
559,enxertar
560,variação
561,folicular
562,onde
563,quando
564,como
565,quanto
566,o quê
567,por quê
568,quem
